,er_sample_name,measurement_step_max,specimen_comp_name
0,PI32-1,675.0,HT
1,PI32-1,675.0,HT
2,PI32-2,580.0,HT
3,PI32-2,580.0,HT
4,PI32-3,675.0,HT
5,PI32-3,675.0,HT
6,PI32-4,675.0,HT
7,PI32-4,675.0,HT
8,PI32-5,580.0,HT
9,PI32-5,580.0,HT
10,PI32-6,580.0,HT
11,PI32-6,580.0,HT
12,PI32-7,580.0,HT
13,PI32-7,580.0,HT
14,PI32-8,580.0,HT
15,PI32-8,580.0,HT
16,PI32-9,580.0,HT
17,PI32-9,580.0,HT
18,PI33-1,580.0,HT
19,PI33-1,580.0,HT
20,PI33-2,580.0,HT
21,PI33-2,580.0,HT
22,PI33-3,580.0,HT
23,PI33-3,580.0,HT
24,PI33-5,580.0,HT
25,PI33-5,580.0,HT
26,PI33-6,580.0,HT
27,PI33-6,580.0,HT
28,PI34-1,570.0,HT
29,PI34-1,570.0,HT
30,PI34-2,570.0,HT
31,PI34-2,570.0,HT
32,PI34-3,570.0,HT
33,PI34-3,570.0,HT
34,PI34-4,570.0,HT
35,PI34-4,570.0,HT
36,PI34-5,570.0,HT
37,PI34-5,570.0,HT
38,PI34-6,570.0,HT
39,PI34-6,570.0,HT
40,PI34-7,570.0,HT
41,PI34-7,570.0,HT
42,PI34-8,570.0,HT
43,PI34-8,570.0,HT
