length,lon,lat,elevation
0,-88.45172228,47.17244724,291.6233215
12.92869715,-88.45185883,47.1725168,292.4320679
25.8573943,-88.45199537,47.17258635,292.592926
38.78609144,-88.45213192,47.17265591,294.0794983
51.71478859,-88.45226846,47.17272546,295.0488892
64.64348574,-88.45240501,47.17279502,296.0327148
77.57218289,-88.45254155,47.17286457,297.1659546
90.50088004,-88.4526781,47.17293413,298.0476685
103.4295772,-88.45281465,47.17300368,299.1220703
116.3582743,-88.45295119,47.17307324,299.7483826
129.2869715,-88.45308774,47.17314279,300.6246643
142.2156686,-88.45322428,47.17321235,301.3824463
155.1443658,-88.45336083,47.1732819,302.588562
168.0730629,-88.45349737,47.17335146,303.2229004
181.0017601,-88.45363392,47.17342101,304.0283813
193.9304572,-88.45377047,47.17349057,304.598114
206.8591544,-88.45390701,47.17356012,305.4672546
219.7878515,-88.45404356,47.17362968,306.0351868
232.7165487,-88.4541801,47.17369923,306.6824646
245.6452458,-88.45431665,47.17376879,306.8871765
258.573943,-88.45445319,47.17383834,306.9343262
271.5026401,-88.45458974,47.1739079,306.7952576
284.4313373,-88.45472628,47.17397745,306.8415833
297.3600344,-88.45486283,47.17404701,306.1976929
310.2887315,-88.45499938,47.17411656,305.5183411
323.2174287,-88.45513592,47.17418612,304.9890747
336.1461258,-88.45527247,47.17425567,305.0481567
349.074823,-88.45540901,47.17432523,304.8301697
362.0035201,-88.45554556,47.17439478,304.4285278
374.9322173,-88.4556821,47.17446434,304.3840942
387.8609144,-88.45581865,47.17453389,304.7554626
400.7896116,-88.4559552,47.17460345,305.3150024
413.7183087,-88.45609174,47.174673,305.4457397
426.6470059,-88.45622829,47.17474256,305.699646
439.575703,-88.45636483,47.17481211,305.9782715
452.5044002,-88.45650138,47.17488167,306.7290649
465.4330973,-88.45663792,47.17495122,307.157959
478.3617945,-88.45677447,47.17502078,308.9236755
491.2904916,-88.45691102,47.17509033,309.7842407
504.2191888,-88.45704756,47.17515989,311.1372986
517.1478859,-88.45718411,47.17522944,311.5076904
530.0765831,-88.45732065,47.175299,311.6352844
543.0052802,-88.4574572,47.17536855,311.7249451
555.9339774,-88.45759374,47.17543811,311.9074402
568.8626745,-88.45773029,47.17550766,311.9937439
581.7913717,-88.45786684,47.17557722,312.1068115
594.7200688,-88.45800338,47.17564677,312.307373
607.648766,-88.45813993,47.17571633,312.3931274
620.5774631,-88.45827647,47.17578588,312.5064697
633.5061602,-88.45841302,47.17585544,312.5150757
646.4348574,-88.45854956,47.17592499,312.7388
659.3635545,-88.45868611,47.17599455,312.7657471
672.2922517,-88.45882266,47.1760641,312.9752197
685.2209488,-88.4589592,47.17613366,313.0975037
698.149646,-88.45909575,47.17620321,313.4672241
711.0783431,-88.45923229,47.17627277,313.7011414
724.0070403,-88.45936884,47.17634232,314.2452087
736.9357374,-88.45950538,47.17641188,314.6068726
749.8644346,-88.45964193,47.17648143,315.0719604
762.7931317,-88.45977847,47.17655099,315.4827881
775.7218289,-88.45991502,47.17662054,316.0232544
788.650526,-88.46005157,47.1766901,316.4163818
801.5792232,-88.46018811,47.17675965,316.96521
814.5079203,-88.46032466,47.17682921,317.0800476
827.4366175,-88.4604612,47.17689876,317.3188782
840.3653146,-88.46059775,47.17696832,317.6513672
853.2940118,-88.46073429,47.17703787,317.9102173
866.2227089,-88.46087084,47.17710743,318.1365662
879.1514061,-88.46100739,47.17717698,318.3838196
892.0801032,-88.46114393,47.17724654,318.7442322
905.0088004,-88.46128048,47.17731609,318.9898071
917.9374975,-88.46141702,47.17738565,319.3030701
930.8661946,-88.46155357,47.1774552,319.5760803
943.7948918,-88.46169011,47.17752476,320.0098267
956.7235889,-88.46182666,47.17759431,320.2254944
969.6522861,-88.46196321,47.17766387,320.4679871
982.5809832,-88.46209975,47.17773342,320.7298584
995.5096804,-88.4622363,47.17780298,321.1547241
1008.438378,-88.46237284,47.17787253,321.4638062
1021.367075,-88.46250939,47.17794209,321.7599792
1034.295772,-88.46264593,47.17801164,322.1454163
1047.224469,-88.46278248,47.1780812,322.6376648
1060.153166,-88.46291903,47.17815075,323.0397644
1073.081863,-88.46305557,47.17822031,323.1929626
1086.01056,-88.46319212,47.17828986,323.430481
1098.939258,-88.46332866,47.17835942,323.6947937
1111.867955,-88.46346521,47.17842897,324.0516663
1124.796652,-88.46360175,47.17849853,324.1425476
1137.725349,-88.4637383,47.17856808,324.4786987
1150.654046,-88.46387484,47.17863764,324.7345581
1163.582743,-88.46401139,47.17870719,325.0726318
1176.51144,-88.46414794,47.17877675,325.1747742
1189.440138,-88.46428448,47.1788463,325.5568848
1202.368835,-88.46442103,47.17891586,325.8425598
1215.297532,-88.46455757,47.17898541,326.3013
1228.226229,-88.46469412,47.17905497,326.4399719
1241.154926,-88.46483066,47.17912452,326.9432373
1254.083623,-88.46496721,47.17919408,327.3123779
1267.01232,-88.46510376,47.17926363,327.8238525
1279.941018,-88.4652403,47.17933319,328.0055847
1292.869715,-88.46537685,47.17940274,328.5449829
1305.798412,-88.46551339,47.1794723,328.8506165
1318.727109,-88.46564994,47.17954185,329.3419495
1331.655806,-88.46578648,47.17961141,329.4543762
1344.584503,-88.46592303,47.17968096,329.6416626
1357.513201,-88.46605958,47.17975052,329.8123779
1370.441898,-88.46619612,47.17982007,329.9120178
1383.370595,-88.46633267,47.17988963,329.9042969
1396.299292,-88.46646921,47.17995918,329.9112244
1409.227989,-88.46660576,47.18002874,329.7895203
1422.156686,-88.4667423,47.18009829,329.7996216
1435.085383,-88.46687885,47.18016785,329.5640869
1448.014081,-88.4670154,47.1802374,329.6511536
1460.942778,-88.46715194,47.18030696,329.6230774
1473.871475,-88.46728849,47.18037651,329.5947876
1486.800172,-88.46742503,47.18044607,329.2624207
1499.728869,-88.46756158,47.18051562,329.3203125
1512.657566,-88.46769812,47.18058518,329.4360352
1525.586263,-88.46783467,47.18065473,329.5951538
1538.514961,-88.46797121,47.18072429,329.5984192
1551.443658,-88.46810776,47.18079384,329.7320557
1564.372355,-88.46824431,47.1808634,329.9293518
1577.301052,-88.46838085,47.18093295,330.0997314
1590.229749,-88.4685174,47.18100251,330.1211548
1603.158446,-88.46865394,47.18107206,330.2467651
1616.087143,-88.46879049,47.18114162,330.3410645
1629.015841,-88.46892703,47.18121117,330.4167786
1641.944538,-88.46906358,47.18128073,330.4173279
1654.873235,-88.46920013,47.18135028,330.6750488
1667.801932,-88.46933667,47.18141984,331.0026855
1680.730629,-88.46947322,47.18148939,331.47229
1693.659326,-88.46960976,47.18155895,331.5909119
1706.588024,-88.46974631,47.1816285,332.1164246
1719.516721,-88.46988285,47.18169806,332.5133057
1732.445418,-88.4700194,47.18176761,332.9713745
1745.374115,-88.47015595,47.18183717,333.0749207
1758.302812,-88.47029249,47.18190672,333.5116882
1771.231509,-88.47042904,47.18197628,333.8106689
1784.160206,-88.47056558,47.18204583,334.1960754
1797.088904,-88.47070213,47.18211539,334.3141785
1810.017601,-88.47083867,47.18218494,334.7387085
1822.946298,-88.47097522,47.1822545,334.990387
1835.874995,-88.47111177,47.18232405,335.2953491
1848.803692,-88.47124831,47.18239361,335.528595
1861.732389,-88.47138486,47.18246316,335.7584839
1874.661086,-88.4715214,47.18253272,336.434021
1887.589784,-88.47165795,47.18260227,336.870636
1900.518481,-88.47179449,47.18267183,337.2244873
1913.447178,-88.47193104,47.18274138,337.6843872
1926.375875,-88.47206758,47.18281094,338.3869019
1939.304572,-88.47220413,47.18288049,338.9263306
1952.233269,-88.47234068,47.18295005,339.346405
1965.161966,-88.47247722,47.1830196,339.9477539
1978.090664,-88.47261377,47.18308916,340.714386
1991.019361,-88.47275031,47.18315871,341.3006897
2003.948058,-88.47288686,47.18322827,341.4773865
2016.876755,-88.4730234,47.18329782,342.0727844
2029.805452,-88.47315995,47.18336738,342.4627075
2042.734149,-88.4732965,47.18343693,343.131958
2055.662847,-88.47343304,47.18350649,343.4408875
2068.591544,-88.47356959,47.18357604,344.7306824
2081.520241,-88.47370613,47.1836456,346.177063
2094.448938,-88.47384268,47.18371515,347.0256042
2107.377635,-88.47397922,47.18378471,347.09198
2120.306332,-88.47411577,47.18385426,347.5976563
2133.235029,-88.47425232,47.18392382,347.8955994
2146.163727,-88.47438886,47.18399337,348.1322937
2159.092424,-88.47452541,47.18406293,348.0905457
2172.021121,-88.47466195,47.18413248,348.7231445
2184.949818,-88.4747985,47.18420204,349.1968079
2197.878515,-88.47493504,47.18427159,349.796875
2210.807212,-88.47507159,47.18434115,349.9451294
2223.735909,-88.47520814,47.1844107,350.5205994
2236.664607,-88.47534468,47.18448025,350.9329224
2249.593304,-88.47548123,47.18454981,351.3560486
2262.522001,-88.47561777,47.18461936,351.4213867
2275.450698,-88.47575432,47.18468892,351.71521
2288.379395,-88.47589086,47.18475847,351.8898315
2301.308092,-88.47602741,47.18482803,352.1164551
2314.236789,-88.47616395,47.18489758,352.2118225
2327.165487,-88.4763005,47.18496714,352.4957581
2340.094184,-88.47643705,47.18503669,352.7377319
2353.022881,-88.47657359,47.18510625,352.988739
2365.951578,-88.47671014,47.1851758,353.2624817
2378.880275,-88.47684668,47.18524536,353.5031433
2391.808972,-88.47698323,47.18531491,353.7449341
2404.73767,-88.47711977,47.18538447,353.9057007
2417.666367,-88.47725632,47.18545402,354.0848999
2430.595064,-88.47739287,47.18552358,354.2539368
2443.523761,-88.47752941,47.18559313,354.5091858
2456.452458,-88.47766596,47.18566269,354.6984253
2469.381155,-88.4778025,47.18573224,354.8479919
2482.309852,-88.47793905,47.1858018,355.0304565
2495.23855,-88.47807559,47.18587135,355.2510986
2508.167247,-88.47821214,47.18594091,355.4568176
2521.095944,-88.47834869,47.18601046,355.5165405
2534.024641,-88.47848523,47.18608002,355.7037659
2546.953338,-88.47862178,47.18614957,355.8467407
