id,strike,dip,Elevation,lon,lat
1,205,10,303,-88.45488959,47.17425415
1,25,5,311,-88.45949836,47.17766091
1,223,25,333,-88.46794383,47.18268499
1,220,35,357,-88.47412458,47.18696121
1,218,45,360,-88.4839768,47.18895103
1,210,50,359,-88.51486838,7.191140754
1,220,20,319,-88.43370228,7.206948861
1,210,35,360,-88.45697717,47.22371004
1,215,25,360,-88.4283374,47.23092436
1,210,35,365,-88.4860423,47.23319737
1,208,40,360,-88.48866944,47.23995218
1,200,25,330,-88.51393328,47.2384383
1,210,25,276,-88.5207318,47.25672336
1,205,20,269,-88.5872121,47.18734146
1,210,30,310,-88.56786255,47.1838225
