length,lon,lat,elevation
0,-90.61779155,46.39182064,343.1528625
13.08926374,-90.61788427,46.39187051,342.0611877
26.17852748,-90.61797699,46.39192037,341.5097656
39.26779122,-90.61806971,46.39197023,341.257782
52.35705496,-90.61816243,46.3920201,341.9647827
65.44631871,-90.61825515,46.39206996,343.0431213
78.53558245,-90.61834786,46.39211983,344.4065857
91.62484619,-90.61844058,46.39216969,344.9082031
104.7141099,-90.6185333,46.39221956,345.0591736
117.8033737,-90.61862602,46.39226942,344.7717285
130.8926374,-90.61871874,46.39231929,344.1955261
143.9819012,-90.61881146,46.39236915,344.372406
157.0711649,-90.61890418,46.39241901,343.5363464
170.1604286,-90.61899689,46.39246888,343.2354126
183.2496924,-90.61908961,46.39251874,342.0145569
196.3389561,-90.61918233,46.39256861,341.4836731
209.4282199,-90.61927505,46.39261847,340.6178284
222.5174836,-90.61936777,46.39266834,340.1895752
235.6067473,-90.61946049,46.3927182,339.1902161
248.6960111,-90.61955321,46.39276807,339.0132751
261.7852748,-90.61964593,46.39281793,338.2616272
274.8745386,-90.61973864,46.39286779,338.1201477
287.9638023,-90.61983136,46.39291766,337.4832153
301.053066,-90.61992408,46.39296752,336.960907
314.1423298,-90.6200168,46.39301739,336.9165344
327.2315935,-90.62010952,46.39306725,336.4837646
340.3208573,-90.62020224,46.39311712,336.400116
353.410121,-90.62029496,46.39316698,335.9488525
366.4993848,-90.62038767,46.39321685,335.8637695
379.5886485,-90.62048039,46.39326671,335.4918823
392.6779122,-90.62057311,46.39331658,335.5111389
405.767176,-90.62066583,46.39336644,334.9439697
418.8564397,-90.62075855,46.3934163,334.7830811
431.9457035,-90.62085127,46.39346617,333.7470093
445.0349672,-90.62094399,46.39351603,333.4640503
458.1242309,-90.62103671,46.3935659,332.6050415
471.2134947,-90.62112942,46.39361576,331.6799622
484.3027584,-90.62122214,46.39366563,331.4063416
497.3920222,-90.62131486,46.39371549,330.6781311
510.4812859,-90.62140758,46.39376536,330.6801453
523.5705496,-90.6215003,46.39381522,330.1362
536.6598134,-90.62159302,46.39386508,330.0436401
549.7490771,-90.62168574,46.39391495,329.5897217
562.8383409,-90.62177845,46.39396481,329.1872253
575.9276046,-90.62187117,46.39401468,326.2949219
589.0168684,-90.62196389,46.39406454,326.0674438
602.1061321,-90.62205661,46.39411441,323.1473999
615.1953958,-90.62214933,46.39416427,323.4953003
628.2846596,-90.62224205,46.39421414,321.6949463
641.3739233,-90.62233477,46.394264,320.6854248
654.4631871,-90.62242748,46.39431387,320.6069946
667.5524508,-90.6225202,46.39436373,319.829895
680.6417145,-90.62261292,46.39441359,319.6886292
693.7309783,-90.62270564,46.39446346,319.8428955
706.820242,-90.62279836,46.39451332,319.6836548
719.9095058,-90.62289108,46.39456319,320.9337158
732.9987695,-90.6229838,46.39461305,320.9386902
746.0880332,-90.62307652,46.39466292,323.8573303
759.177297,-90.62316923,46.39471278,323.5774536
772.2665607,-90.62326195,46.39476265,323.9994812
785.3558245,-90.62335467,46.39481251,323.6700134
798.4450882,-90.62344739,46.39486237,323.704834
811.534352,-90.62354011,46.39491224,323.6753845
824.6236157,-90.62363283,46.3949621,323.4309387
837.7128794,-90.62372555,46.39501197,323.5507507
850.8021432,-90.62381826,46.39506183,323.4675598
863.8914069,-90.62391098,46.3951117,323.5166321
876.9806707,-90.6240037,46.39516156,323.2268066
890.0699344,-90.62409642,46.39521143,322.8349609
903.1591981,-90.62418914,46.39526129,322.1344299
916.2484619,-90.62428186,46.39531116,321.7479858
929.3377256,-90.62437458,46.39536102,321.3916626
942.4269894,-90.6244673,46.39541088,320.8045959
955.5162531,-90.62456001,46.39546075,320.4815979
968.6055168,-90.62465273,46.39551061,319.7954407
981.6947806,-90.62474545,46.39556048,319.6959229
994.7840443,-90.62483817,46.39561034,319.7040405
1007.873308,-90.62493089,46.39566021,319.1760559
1020.962572,-90.62502361,46.39571007,318.7470703
1034.051836,-90.62511633,46.39575994,318.8806152
1047.141099,-90.62520904,46.3958098,318.6242065
1060.230363,-90.62530176,46.39585966,319.8696594
1073.319627,-90.62539448,46.39590953,319.6259155
1086.408891,-90.6254872,46.39595939,320.6540527
1099.498154,-90.62557992,46.39600926,320.6360474
1112.587418,-90.62567264,46.39605912,320.8424683
1125.676682,-90.62576536,46.39610899,320.4263611
1138.765945,-90.62585808,46.39615885,319.9384766
1151.855209,-90.62595079,46.39620872,319.4158325
1164.944473,-90.62604351,46.39625858,319.1652222
1178.033737,-90.62613623,46.39630845,318.8705444
1191.123,-90.62622895,46.39635831,318.8100281
1204.212264,-90.62632167,46.39640817,318.5419922
1217.301528,-90.62641439,46.39645804,318.4003296
1230.390792,-90.62650711,46.3965079,318.2794189
1243.480055,-90.62659982,46.39655777,318.0346985
1256.569319,-90.62669254,46.39660763,317.4485474
1269.658583,-90.62678526,46.3966575,317.0553894
1282.747847,-90.62687798,46.39670736,316.2576599
1295.83711,-90.6269707,46.39675723,316.0621033
1308.926374,-90.62706342,46.39680709,315.68573
1322.015638,-90.62715614,46.39685695,314.9860535
1335.104902,-90.62724886,46.39690682,314.912262
1348.194165,-90.62734157,46.39695668,313.68396
1361.283429,-90.62743429,46.39700655,313.3672791
1374.372693,-90.62752701,46.39705641,310.8676453
1387.461957,-90.62761973,46.39710628,310.6416016
1400.55122,-90.62771245,46.39715614,307.0140076
1413.640484,-90.62780517,46.39720601,306.5728149
1426.729748,-90.62789789,46.39725587,299.1827087
1439.819012,-90.6279906,46.39730573,298.0293884
1452.908275,-90.62808332,46.3973556,293.368866
1465.997539,-90.62817604,46.39740546,292.3182068
1479.086803,-90.62826876,46.39745533,294.9326172
1492.176066,-90.62836148,46.39750519,304.3173828
1505.26533,-90.6284542,46.39755506,303.2400513
1518.354594,-90.62854692,46.39760492,306.1322937
1531.443858,-90.62863963,46.39765479,305.5753174
1544.533121,-90.62873235,46.39770465,307.4511719
1557.622385,-90.62882507,46.39775452,306.5731201
1570.711649,-90.62891779,46.39780438,308.2177429
1583.800913,-90.62901051,46.39785424,307.1679077
1596.890176,-90.62910323,46.39790411,308.4908142
1609.97944,-90.62919595,46.39795397,306.8268127
1623.068704,-90.62928867,46.39800384,307.8189392
1636.157968,-90.62938138,46.3980537,305.5450745
1649.247231,-90.6294741,46.39810357,306.5301514
1662.336495,-90.62956682,46.39815343,306.8449402
1675.425759,-90.62965954,46.3982033,301.6280212
1688.515023,-90.62975226,46.39825316,298.9891663
1701.604286,-90.62984498,46.39830302,292.5282288
1714.69355,-90.6299377,46.39835289,292.0882568
1727.782814,-90.63003041,46.39840275,289.3936157
1740.872078,-90.63012313,46.39845262,289.3105469
1753.961341,-90.63021585,46.39850248,284.2297974
1767.050605,-90.63030857,46.39855235,285.6488953
1780.139869,-90.63040129,46.39860221,279.8377686
1793.229133,-90.63049401,46.39865208,278.5945129
1806.318396,-90.63058673,46.39870194,274.870636
1819.40766,-90.63067945,46.39875181,274.1896973
1832.496924,-90.63077216,46.39880167,275.2020264
1845.586188,-90.63086488,46.39885153,273.1522827
1858.675451,-90.6309576,46.3989014,273.5959473
1871.764715,-90.63105032,46.39895126,270.600708
1884.853979,-90.63114304,46.39900113,272.0754395
1897.943242,-90.63123576,46.39905099,266.1325378
1911.032506,-90.63132848,46.39910086,269.2167664
1924.12177,-90.63142119,46.39915072,264.6710815
1937.211034,-90.63151391,46.39920059,266.175354
1950.300297,-90.63160663,46.39925045,262.479187
1963.389561,-90.63169935,46.39930031,262.8920898
1976.478825,-90.63179207,46.39935018,260.7917175
1989.568089,-90.63188479,46.39940004,260.6721497
2002.657352,-90.63197751,46.39944991,259.6158447
2015.746616,-90.63207023,46.39949977,258.1775208
2028.83588,-90.63216294,46.39954964,257.6789856
2041.925144,-90.63225566,46.3995995,257.7033386
2055.014407,-90.63234838,46.39964937,255.9325867
2068.103671,-90.6324411,46.39969923,257.6719666
2081.192935,-90.63253382,46.3997491,256.0510559
2094.282199,-90.63262654,46.39979896,256.5751648
2107.371462,-90.63271926,46.39984882,252.9064178
2120.460726,-90.63281197,46.39989869,252.0438843
2133.54999,-90.63290469,46.39994855,251.3688049
2146.639254,-90.63299741,46.39999842,251.3829651
2159.728517,-90.63309013,46.40004828,251.5041962
2172.817781,-90.63318285,46.40009815,252.9514923
2185.907045,-90.63327557,46.40014801,253.2605133
2198.996309,-90.63336829,46.40019788,253.6745605
2212.085572,-90.63346101,46.40024774,253.8668823
2225.174836,-90.63355372,46.4002976,254.3936768
2238.2641,-90.63364644,46.40034747,254.6716309
2251.353363,-90.63373916,46.40039733,255.2628021
2264.442627,-90.63383188,46.4004472,255.5712128
2277.531891,-90.6339246,46.40049706,256.6567078
