id,strike,dip,Elevation,lon,lat
12,313,17,184,-89.53524122,46.83568533
13,313,13,183,-89.53343091,46.8368828
14,314,13,183,-89.53320927,46.83722795
15,313,13,183,-89.5323425,46.8374167
16,313,14,184,-89.52926886,46.83781216
17,329,15,184,-89.52604633,46.83838879
18,316,17,184,-89.5408201,46.83508738
19,315,13,184,-89.55181314,46.8361506
20,315,14,183,-89.53126518,46.83748584
21,309,13,183,-89.53028735,46.83758519
22,322,13,184,-89.52724579,6.838204745
23,290,8,184,-89.52826912,46.83798056
24,316,18,184,-89.52894433,46.83782315
